,"Регион","Округ","Кол-во реализуемых направлений государственной молодeжной политики","Суммарное кол-во грантов","Суммарный бюджет грантов, руб","Cуммарное кол-во детских и молодeжных общественных объединений","Средняя численность молодeжи, задействованной в программном мероприятии","Cуммарное кол-во структур","Всего кол-во сотрудников","С профильным образованием всего","Объeм финансирования","Расходы на мероприятия","Расходы на административные функции","Расходы на ремонт","Количество новостей, опубликованных от региона в сфере государственной молодeжной политики","Количество упоминаний регионального органа исполнительной власти","Количество просмотров оф. сайта","Численность подписчиков и участников в соц. сетях","Количество публикаций в соц. сетях","Кол-во пользователей, посетивших оф. сайт","Упоминания в печатных СМИ","Количество статей, опубликованных региональным органом исполнительной власти","Количество статей, опубликованных в печатном издании субъекта","Финансирование информационного освещения","Кол-во упоминаний в ТВ-сюжетах","Кол-во упоминаний в интернет-СМИ","Cуммарное кол-во региональных объединений, ед","Cуммарное число членов региональных объединений","Cуммарное число уч-в мер-й рег. объединений, чел","Cуммарный объeм фин. поддержки региональных объединений","Кол-во школ","Кол-во СПО","Кол-во вузов","Число учащихся школ","Число учащихся СПО","Число учащихся вузов","Cуммарное кол-во органов самоуправления","Суммарный объем финанс-я ОМСУ","Cуммарный объем финанс-я УССУ","Кол-во форумов, прошедших на территории субъекта","Численность участников форумов","Объeм регионального финансирования","Кол-во госуд. учр. на территории субъекта, работающих с добровольцами (волонтерами)","Число граждан, вовлеченных в добровольческую деятельность на тер. субъекта","Число граждан, вовлеченных центрами поддержки добровольчества на базе образовательных организаций","Кол-во региональных ресурсных центров поддержки добровольчества на тер. субъекта"
10,Приморский край,ДФО,6,51,2058720,3249,29332,252,2816,572,1387244220,171056654,1148211010,67976556,0,2240,180970,4630,567,28850,155,0,12,36000,140,1945,5,22205,5625,6311600,550,58,75,30283,2752,896,547,335670,130000,60,3784,25315244,139,10700,98542,3
11,Омская область,СФО,13,102,300633498,9752,40524,114,1812,242,872824234,238402284,614041624,20380326,40,8860,198400,93112,16438,41469,675,196,8,0,893,7292,60,62268,134069,3307432,2146,204,131,96182,8827,11755,769,0,0,18,4000,5962840,178,7520,295921,3
12,Еврейская автономная область,ДФО,1,23,2650000,486,3780,98,3094,1818,21553724,19024784,2528940,0,86,145,127860,1161,671,28632,8,160,68,1200,10,127,2,7238,2635,30745500,67,12,0,18358,264,0,49,0,0,34,20804,0,53,2114,13680,2
13,Нижегородская область,ПФО,13,149,37764892,6340,87087,136,1332,38,805841848,223889886,555013876,26938086,49,1255,1157040,49658,1389,274397,31,0,132,340000,118,1106,62,146521,621387,10635678,1203,653,718,129284,26543,32259,972,1018600,415000,110,24434,9341048,1442,49547,144479,17
14,Брянская область,ЦФО,8,48,37589013,1187,13131,76,160,34,63614182,58161366,5452816,0,8,34416,131108,5416,1954,39348,33100,98,1387,1000000,297,1019,161,8405,39209,19749999,201,30,11,63125,7252,10724,250,601000,0,16,1972,9157750,50,4157,64900,9
15,Ленинградская область,СЗФО,16,122,45205121,4648,35109,330,1550,356,1010568586,512995448,463249394,34323744,51,2629,67420,12424,1661,24706,251,92,2,1142377,36,2342,44,1803,8362,16457752,860,27,9,47205,4919,1375,523,325030,0,42,3322,82487280,113,38570,207200,7
16,Севастополь,ЮФО,3,66,10498680,113,22951,24,422,6,79719120,75183692,4535428,0,103,422,73326,11077,3344,6002,22,38,92,1725478,111,289,16,44530,78850,11309196,62,24,28,11236,789,4240,70,0,0,18,1950,6065974,57,1786,30360,3
17,Тверская область,ЦФО,1,6,4248900,1943,24940,100,384,34,492748192,328467350,144511550,19769292,14,908,237400,2526,1449,59100,187,145,1874,1270981,125,596,327,927,36700,4248900,137,120,95,12000,7600,7880,584,211292,47500000,68,8362,480000,167,20081,153150,2
18,Иркутская область,СФО,14,367,61135181,3601,118022,140,698,142,718679922,283689236,428836802,6153884,34,2388,161944,22934,3706,72349,199,32,179,499600,231,1958,76,19031,98110,4342927,924,161,12,41068,8456,2794,1585,872715,53400,94,8668,6470058,339,18010,442938,0
19,Пензенская область,ПФО,6,13,9581000,3961,22804,64,264,6,123292138,67775476,55516662,0,5,13018,716932,17976,5160,158268,1412,9,14,0,1932,9674,24,1845,50370,2973889,710,75,32,32140,7540,9350,649,8500,0,50,7904,4895400,80,52282,193812,1
20,Республика Алтай,СФО,1,1,2561447,435,4516,28,106,74,54351364,21761456,31989908,600000,2,1500,50243,5005,834,7010,250,113,200,350000,150,1100,23,4891,45500,1515621,181,8,3,30866,233,2283,201,0,0,4,300,7227014,194,253,39549,1
21,Республика Ингушетия,СКФО,0,0,5341738,23,9848,4,92,86,40218918,10700000,29518918,0,0,144,516,13,550,146,48,10,48,200000,48,48,1,30,0,0,0,0,0,0,0,0,10,0,0,30,9000,26000000,7,1350,33368,0
